"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MMP1|4312",1654.52335484,-6.78850407700322,0.395614691523671,-17.1593831635978,5.3478600899384e-66,1.03058611793203e-61
"CST1|1469",948.566127739427,-7.63174483623725,0.449882766701683,-16.9638523657828,1.52041149689569e-64,1.46499249783384e-60
"COL10A1|1300",4283.69239754383,-6.09596479056757,0.387017532603156,-15.7511334165274,6.74612823296939e-56,4.33348790591844e-52
"LALBA|3906",11588.9446093785,7.23792706447208,0.46547648747467,15.5495009076392,1.60350511889787e-54,7.7252867865702e-51
"CSN2|1447",11612.287859484,7.19388250819409,0.494800784550702,14.5389472547551,6.86401330008482e-48,2.20460667176558e-44
"WIF1|11197",2933.47044792517,5.9548772734084,0.409276448473581,14.5497677562866,5.86016619862769e-48,2.20460667176558e-44
"MMP13|4322",2057.69723035785,-5.81922110056472,0.405399504020642,-14.3542876664902,1.00149236965956e-46,2.75710849367276e-43
"CSN1S1|1446",5887.84197009887,6.92116766187177,0.482793597762665,14.3356657875031,1.30984328916066e-46,3.15524875317689e-43
"CST4|1472",214.003039343495,-7.08794730856255,0.497119308051056,-14.2580406630165,3.99514622579168e-46,8.55449587969238e-43
"MMP11|4320",8656.74836047064,-5.36337490305504,0.379274049557039,-14.1411596952626,2.11765582475769e-45,4.08093453989055e-42
"CSN3|1448",3580.0535365099,6.37827360749377,0.456795694974757,13.9630773180694,2.61877653065643e-44,4.58785841111637e-41
"COL11A1|1301",5453.70199393373,-5.06358120712926,0.368392267157261,-13.7450800642558,5.45127184588869e-43,8.75428831184342e-40
"COMP|1311",3118.3249348303,-4.6499220740223,0.369864272137548,-12.5719687580234,3.01130423213699e-36,4.46391106596246e-33
"CA4|762",1123.3363103238,5.72102135877259,0.466214610177672,12.271218520141,1.29292772345244e-34,1.77971501133228e-31
"SMYD1|150572",876.604037181119,4.83138197896244,0.397980791005847,12.139736610784,6.50350437596249e-34,8.35526885527821e-31
"MYOC|4653",361.350437591094,5.10066833993556,0.424027809177489,12.0290892001391,2.49902343283046e-33,3.00991753587973e-30
